"code","name","high","low","close","volume","change","direction","price","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"CPA","Copa Holdings S.A.","76.89","74.79","75.23","388,672","-2.04","","2.64","Transportation","Air Freight/Delivery Services","15.79","0.15","7.76","2.39","2.71","2.25","518.91M","42.43M","3.28B","64.66 - 94.91"
"CPAC","Cementos Pacasmayo S.A.A ADR","6.210","5.970","6.000","5,124","-0.070","","1.15","","","N/A","1","0.47","N/A","N/A","N/A","N/A","85.71M","520.29M","5.11 - 9.02"
"CPB","Campbell Soup Company","44.01","43.03","43.88","2,216,502","0.73","","1.69","Consumer Non-Durables","Packaged Foods","16.65","4.82","2.89","2.95","8.74","1.81","2.00B","300.44M","12.96B","39.76 - 53.77"
"CPE","Callon Petroleum Company","51.55","48.45","49.11","1,074,212","-3.01","","5.78","Energy","Oil & Gas Production","20.17","0.3","0.52","N/A","1.14","7.66","213.75M","202.08M","10.53B","12.22 - 65.45"
"CPF","Central Pacific Financial Company","27.33","26.79","27.04","66,135","-0.41","","1.49","Finance","Major Banks","20.1","2.48","1.57","2.2","1.89","4.73","N/A","30.44M","835.55M","17.52 - 29.15"
"CPG","Crescent Pt Energy","5.260","5.020","5.040","4,613,584","-0.250","","4.73","","","N/A","N/A","N/A","4.11","0.48","1.81","1.31B","545.21M","2.88B","2.16 - 5.48"
"CPK","Chesapeake Utilities Corp","137.7","134.2","137.6","28,930","2.5","","1.87","Public Utilities","Oil & Gas Production","31.69","3.47","2.57","1.62","2.84","2.34","122.80M","16.32M","2.20B","99.64 - 140.47"
"CPLG","Corepoint Lodging Inc","15.53","15.44","15.50","490,417","-0.02","","0.13","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6.05 - 18.15"
"CPNG","Coupang Inc Cl A","27.23","26.31","27.20","4,265,602","0.44","","1.64","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CPRI","Capri Holdings Ltd","65.81","61.22","62.64","1,053,528","-2.94","","4.48","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","37.95 - 69.26"
"CPS","Cooper Std Holdings Inc","26.00","24.14","24.45","60,451","-1.52","","5.85","Consumer Services","Business Services","14.14","2.25","7.94","N/A","2.58","0.58","431.14M","17.73M","460.32M","20.40 - 47.85"
"CPS.U","Capstar Special Acquisition Corp","10.43","10.42","10.42","600","-0.04","","0.33","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.96 - 11.79"
"CPS.W","Capstar Special Acquisition Corp","0.9801","0.9500","0.9501","5,621","-0.0300","","3.06","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.60 - 1.96"
"CPSR","Capstar Special Acquisition Corp Cl A","9.940","9.920","9.940","115,467","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.60 - 10.88"
"CPT","Camden Property Trust","177.1","172.3","176.3","422,089","2.6","","1.51","Consumer Services","Real Estate Investment Trusts","20.41","8.72","4.47","3.31","2.68","8.84","506.29M","87.67M","15.23B","94.59 - 174.74"
"CPT.U","Crown Proptech Acquisitions [Cptk.U]","10.07","10.04","10.05","9,000","0.07","","0.68","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CPT.W","Crown Proptech Acquisitions WT [Cptk/W]","0.7798","0.7102","0.7500","29,400","-0.0399","","5.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CPTK","Crown Proptech Acquisitions Cl A","9.860","9.860","9.860","283","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CPU.U","Compute Health Acquisition Corp [Cpuh.U]","10.02","9.97","10.01","26,302","0.02","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CPU.W","Compute Health Acquisition Corp WT","0.9900","0.9200","0.9500","60,428","0.0000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CPUH","Compute Health Acquisition Corp Cl A","9.790","9.750","9.770","63,955","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CR","Crane Company","103.6","100.0","100.7","166,453","-2.7","","2.64","Capital Goods","Metal Fabrications","38.87","2.03","2.19","1.58","3.89","1.86","482.00M","59.65M","6.17B","72.47 - 108.67"
"CRC","California Resources Corp","44.92","43.00","43.30","474,086","-1.46","","3.26","","","0.91","0.14","11.11","N/A","N/A","0.2","950.00M","42.77M","1.91B","18.30 - 47.18"
"CRD.A","Crawford Co. Cl A","7.620","7.480","7.550","21,962","-0.050","","0.66","Finance","Specialty Insurers","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7.08 - 11.06"
"CRD.B","Crawford Co. Cl B","7.610","7.450","7.610","8,204","0.070","","0.93","Finance","Specialty Insurers","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6.87 - 10.67"
"CRGY","Crescent Energy Company Cl A","16.01","14.90","15.08","230,594","-0.92","","5.75","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CRH","CRH Plc ADR","50.29","49.74","49.83","235,680","-0.58","","1.15","Capital Goods","Building Materials","19.75","N/A","1.9","1.94","1.94","0.95","3.80B","834.49M","42.07B","39.10 - 53.99"
"CRH.U","Cohn Robbins Holdings Corp WT [Crhc.U]","10.42","10.30","10.30","2,601","-0.06","","0.58","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.95 - 12.39"
"CRH.W","Cohn Robbins Holdings Corp [Crhc/W]","1.240","1.100","1.200","387,831","0.010","","0.84","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.83 - 2.90"
"CRHC","Cohn Robbins Holdings Corp Cl A","9.980","9.910","9.930","631,902","-0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.65 - 11.46"
"CRI","Carter's Inc","106.6","103.2","104.9","380,637","-1.6","","1.47","Consumer Non-Durables","Apparel","19.18","1.92","5.1","1.51","6.26","1.44","494.84M","47.86M","5.09B","80.50 - 116.92"
"CRK","Comstock Resources","8.630","8.200","8.360","2,061,711","-0.230","","2.68","Energy","Oil & Gas Production","N/A","N/A","N/A","N/A","N/A","0.34","166.92M","15.48M","132.95M","4.24 - 11.34"
"CRL","Charles River Laboratories Intl","365.5","357.4","362.3","223,087","4.6","","1.28","Health Care","Biotechnology: Commercial Physical & Biological Resarch","30.93","2.13","3.8","N/A","5.83","3.11","435.89M","47.62M","17.04B","233.78 - 460.21"
"CRM","Salesforce.com Inc","270.6","264.6","267.0","2,362,671","1.0","","0.36","Technology","Computer Software: Prepackaged Software","N/A","2.6","N/A","N/A","8.51","7.66","464.08M","718.67M","191.19B","201.51 - 311.75"
"CRS","Carpenter Technology Corp","29.58","28.28","29.46","292,849","-0.12","","0.41","Basic Industries","Steel/Iron Ore","50.8","0.91","0.99","1.43","1.96","1.31","213.50M","46.73M","1.38B","26.84 - 49.20"
"CRT","Cross Timbers Royalty Trust","11.15","10.40","10.63","45,926","-0.34","","3.10","Energy","Oil & Gas Production","14.7985","N/A","1.019","6.93","9.3428","13.44","N/A","6.00M","65.82M","7.41 - 15.50"
"CRU","Crucible Acquisition Corp Cl A","9.780","9.740","9.740","18,990","-0.010","","0.10","Transportation","Marine Transportation","N/A","N/A","N/A","7.93","0.58","3.02","15.30M","16.01M","156.08M","5.93 - 18.40"
"CRU.U","Crucible Acquisition Corp","10.000","9.960","10.000","1,337","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.70 - 14.39"
"CRU.W","Crucible Acquisition Corp WT","0.7700","0.7500","0.7700","8,878","0.0000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CRY","Cryolife","18.56","17.91","18.42","112,887","0.00","","0.00","Health Care","Medical/Dental Instruments","60.61","1.59","0.33","N/A","3.05","3.65","23.56M","33.45M","616.41M","16.95 - 32.34"
"CS","Credit Suisse Group ADR","9.500","9.340","9.390","5,138,723","-0.130","","1.36","Finance","Investment Bankers/Brokers/Service","N/A","N/A","N/A","4.41","0.89","1.83","N/A","2.55B","24.33B","9.29 - 14.95"
"CSAN","Cosan Sa Spon ADR WI","15.82","15.47","15.67","71,429","-0.12","","0.76","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CSL","Carlisle Companies Inc","241.7","238.2","241.0","81,828","-0.1","","0.03","Basic Industries","Specialty Chemicals","31.43","1.4","3.54","1.33","2.83","1.84","723.50M","63.14M","15.22B","143.52 - 244.80"
"CSLT","Castlight Health Inc","1.510","1.450","1.480","390,472","0.020","","1.37","","","N/A","N/A","N/A","N/A","2.89","4.74","N/A","131.69M","192.26M","1.18 - 2.71"
"CSPR","Casper Sleep Inc","6.480","6.400","6.410","650,344","-0.030","","0.47","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.18 - 12.00"
"CSR","Centerspace","107.3","104.8","107.1","33,591","1.0","","0.95","Consumer Durables","Telecommunications Equipment","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","66.91 - 111.73"
"CSR-C","Centerspace Prf","25.87","25.77","25.77","3,700","-0.22","","0.85","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.22 - 28.18"
"CST.U","Constellation Acquisition Corp [Csta.U]","10.000","9.950","9.970","64,300","-0.030","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CST.W","Constellation Acquisition Corp WT","0.7000","0.7000","0.7000","1,581","0.0000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CSTA","Constellation Acquisition Corp I Cl A","9.790","9.760","9.790","14,539","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CSTM","Constellium N.V.","17.25","16.83","17.15","361,734","-0.25","","1.44","","","45.51","0.07","0.27","N/A","N/A","0.2","498.70M","105.35M","1.83B","11.92 - 21.60"
"CSV","Carriage Services","57.27","55.43","56.38","136,085","0.15","","0.27","Consumer Services","Other Consumer Services","21.66","1.22","1.18","1.16","2.31","1.7","72.65M","16.72M","940.17M","28.78 - 58.33"
"CTA-A","Du Pont E.I. DE Nemours & Co. [Cta/Pa]","93.95","93.93","93.95","882","0.36","","0.38","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","85.25 - 97.49"
"CTA-B","Du Pont E.I. DE Nemours & Co. [Cta/Pb]","111.0","111.0","111.0","309","0.1","","0.09","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","101.12 - 117.75"
"CTBB","Qwest Corp","25.35","25.26","25.35","16,059","0.10","","0.40","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","39.10M","987.28M","25.10 - 26.00"
"CTDD","Qwest Corp 6.75% Notes Due 2057","25.60","25.45","25.57","19,903","0.12","","0.47","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.40M","682.97M","25.54 - 26.87"
"CTK","Cootek Cayman Inc ADR","0.6400","0.5500","0.5700","466,031","-0.0500","","8.06","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.52 - 7.20"
"CTLT","Catalent Inc","124.8","121.8","124.8","458,225","2.5","","2.04","","","49.45","3.08","0.87","N/A","7.36","2.57","407.50M","125.29M","15.33B","93.52 - 142.64"
"CTO","Consolidated-Tomoka Land Company","55.57","54.75","55.47","29,737","0.66","","1.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CTO-A","Cto Realty Growth Inc","25.80","25.60","25.67","4,130","-0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CTO.W","Custom Truck One Source WT [Ctos/W]","2.610","2.490","2.540","86,891","-0.070","","2.68","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CTOS","Custom Truck One Source","7.850","7.490","7.660","375,702","-0.280","","3.53","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CTR","Clearbridge Energy MLP Fund IN","23.45","22.65","22.73","20,330","-0.84","","3.56","Consumer Services","Apparel Stores","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.18 - 28.51"
"CTRA","Coterra Energy Inc","21.09","20.36","20.59","5,573,085","-0.31","","1.48","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.93 - 14.37"
"CTS","Cts Corp","35.01","34.33","34.74","52,748","-0.34","","0.97","Capital Goods","Electrical Products","29.42","2.08","0.91","0.61","2.57","2.12","76.03M","32.93M","1.16B","28.72 - 39.49"
"CTT","Catchmark Timber Trust Inc","7.670","7.370","7.460","333,752","-0.170","","2.23","","","N/A","N/A","N/A","4.33","1.32","5.47","25.93M","38.82M","296.22M","7.52 - 12.78"
"CTV","Innovid Corp","8.500","8.100","8.160","9,729","-0.190","","2.28","Technology","Radio And Television Broadcasting And Communications Equipment","N/A","N/A","1.1","N/A","N/A","N/A","N/A","N/A","N/A","13.46 - 26.38"
"CTV.W","Innovid Corp. WT","1.370","1.236","1.273","23,945","-0.018","","1.36","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CTVA","Corteva Inc","47.64","46.64","46.99","1,027,660","-0.97","","2.02","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","36.54 - 49.98"
"CUB-E","Customers Bancorp Inc [Cubi/Pe]","25.35","25.29","25.29","304","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.46 - 26.00"
"CUB-F","Customers Bancorp Inc [Cubi/Pf]","25.28","25.14","25.14","2,941","-0.16","","0.63","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.45 - 25.99"
"CUBB","Customers Bancorp Inc 5.375%","27.40","27.32","27.40","10,350","0.10","","0.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.66 - 29.59"
"CUBE","Cubesmart","55.16","54.13","55.07","1,151,730","0.76","","1.40","","","46.32","6.23","0.58","4.19","2.88","8.71","325.07M","180.09M","9.78B","31.44 - 56.64"
"CUBI","Customers Bancorp","58.05","56.20","56.33","249,714","-1.24","","2.15","","","11.69","N/A","2.44","N/A","1.27","3.05","N/A","30.73M","1.77B","17.32 - 61.48"
"CUK","Carnival Plc ADR","17.19","16.43","16.92","2,863,372","-0.91","","5.13","Consumer Services","Marine Transportation","18.3","N/A","3.68","2.69","1.99","2.81","5.09B","721.06M","12.78B","15.16 - 27.31"
"CULP","Culp Inc","9.970","9.660","9.780","19,272","-0.020","","0.20","","","17.95","N/A","1.75","1.01","N/A","N/A","N/A","12.44M","121.92M","9.89 - 17.88"
"CURO","Curo Group Holdings Corp","16.10","15.53","15.59","78,936","-0.68","","4.18","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7.67 - 20.81"
"CURV","Torrid Holdings Inc","12.06","10.93","11.34","1,221,195","0.03","","0.27","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CUZ","Cousins Properties Inc","39.27","38.31","39.24","369,684","-0.14","","0.36","Consumer Services","Real Estate Investment Trusts","14.75","N/A","0.62","2.64","1.38","9.44","231.38M","420.02M","16.54B","31.01 - 40.66"
"CVA","Covanta Holding Corp","20.26","20.23","20.26","6,694,700","0.02","","0.10","Basic Industries","Electric Utilities: Central","N/A","N/A","N/A","6.56","5.73","1.16","296.00M","129.78M","2.63B","12.23 - 20.25"
"CVE","Cenovus Energy Inc","12.29","11.90","12.00","6,689,573","-0.34","","2.76","Energy","Oil & Gas Production","3.94","0.45","2.45","1.71","0.71","0.94","1.83B","1.23B","15.16B","5.47 - 13.48"
"CVE.W","Cenovus Energy Inc WT","7.428","7.335","7.335","1,347","-0.315","","4.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.65 - 8.60"
"CVEO","Civeo Corp","21.35","19.92","20.17","24,141","-1.27","","5.92","","","N/A","N/A","N/A","N/A","0.5","0.7","72.64M","132.25M","2.84B","13.09 - 25.28"
"CVI","Cvr Energy Inc","15.89","15.46","15.75","274,397","-0.41","","2.54","Energy","Integrated oil Companies","99.64","N/A","0.27","7.42","2.99","0.42","313.00M","86.81M","1.40B","11.22 - 27.02"
"CVI.U","Churchill Capital Vii [Cvii.U]","10.02","9.97","10.01","19,601","-0.01","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CVI.W","Churchill Capital Vii WT [Cvii/W]","1.120","1.000","1.050","187,987","-0.060","","5.41","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CVII","Churchill Capital Corp Vii Cl A","9.810","9.790","9.800","38,550","-0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CVNA","Carvana Co. Cl A","274.4","261.6","265.4","1,446,789","-5.5","","2.01","","","N/A","N/A","N/A","N/A","6.29","0.34","N/A","15.52M","4.20B","219.40 - 376.83"
"CVS","CVS Corp","99.33","97.92","99.22","3,525,905","0.36","","0.36","Health Care","Medical/Nursing Services","13.74","1.39","5.02","2.63","2.18","0.41","12.65B","1.02B","100.49B","67.06 - 97.77"
"CVX","Chevron Corp","117.8","115.6","116.4","5,935,879","-2.0","","1.68","Energy","Integrated oil Companies","36.82","0.57","3.08","3.65","1.54","1.92","19.04B","1.90B","224.26B","83.53 - 119.26"
"CW","Curtiss-Wright Corp","133.8","131.1","133.8","105,207","-0.1","","0.04","Technology","Industrial Machinery/Components","26.31","2.7","4.41","0.52","3.64","2.35","414.23M","44.15M","5.91B","103.55 - 136.97"
"CWAN","Clearwater Analytics Holdings Inc Cl A","21.62","20.80","20.96","481,861","-0.25","","1.18","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CWE.A","Clearway Energy Inc [Cwen.A]","33.15","32.50","33.02","105,544","0.36","","1.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.21 - 36.56"
"CWEN","Clearway Energy Inc Cl C","35.88","35.24","35.58","370,608","0.34","","0.96","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.93 - 39.75"
"CWH","Camping World Holdings Inc","39.32","38.07","38.94","833,179","-0.49","","1.24","Consumer Services","Real Estate Investment Trusts","N/A","1.89","N/A","0.79","6.79","0.31","359.76M","29.33M","1.16B","25.69 - 49.20"
"CWK","Cushman & Wakefield Plc","20.69","19.64","20.49","3,109,650","-0.81","","3.80","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13.89 - 20.67"
"CWT","California Water Service Group Holding","69.85","67.39","69.78","169,933","2.09","","3.09","Public Utilities","Water Supply","35.87","3.31","1.2","1.67","3.09","3.25","183.94M","48.08M","3.25B","51.00 - 68.40"
"CX","Cemex S.A.B. DE C.V. ADR","6.040","5.880","5.980","5,597,543","-0.050","","0.83","Capital Goods","Building Materials","10.66","7.81","0.77","N/A","1.29","0.84","2.82B","1.50B","9.04B","4.96 - 9.09"
"CXE","Colonial High Income Muni Trust","5.060","4.980","5.050","108,542","0.070","","1.41","Finance","Closed-End Fund - Debt","N/A","N/A","0.11","N/A","N/A","N/A","N/A","N/A","N/A","4.84 - 5.53"
"CXH","Colonial Investment Grade Muni Trust","9.960","9.920","9.960","4,372","-0.020","","0.20","Finance","Closed-End Fund - Debt","N/A","N/A","0.04","N/A","N/A","N/A","N/A","N/A","N/A","9.52 - 10.74"
"CXM","Sprinklr Inc Cl A","15.87","14.61","15.74","970,785","0.71","","4.72","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CXP","Columbia Property Trust Inc","19.29","19.25","19.28","4,070,200","0.02","","0.10","Building Cement - Concrete - Aggregate","","18.82","N/A","1.14","3.82","1.01","6.75","171.48M","121.21M","2.34B","13.22 - 19.49"
"CXW","Corecivic Inc","9.690","9.350","9.420","358,404","-0.220","","2.28","Consumer Services","Diversified Commercial Services","13.88","1.36","1.8","6.73","2","1.61","452.80M","118.24M","1.14B","5.92 - 12.35"
"CYD","China Yuchai International","11.65","11.46","11.46","24,605","-0.29","","2.47","Energy","Industrial Machinery/Components","8.95","N/A","2.57","3.84","0.81","0.41","252.29M","40.71M","478.37M","11.55 - 19.59"
"CYH","Community Health Systems","13.56","12.61","13.33","1,708,351","0.61","","4.80","Health Care","Hospital/Nursing Management","N/A","N/A","N/A","N/A","0.5","0.04","1.78B","111.94M","1.42B","7.01 - 17.04"
"CZO.W","Cazoo Group Ltd WT [Czoo.W]","1.180","1.120","1.160","9,865","-0.060","","4.92","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CZOO","Cazoo Group Ltd","6.500","5.920","6.140","1,316,229","-0.330","","5.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"D","Dominion Resources","77.22","75.54","77.02","1,694,454","1.06","","1.40","Public Utilities","Electric Utilities: Central","23.3","5.6","3.45","3.83","3.38","4.16","6.23B","642.53M","48.81B","67.85 - 81.08"
"DAC","Danaos Corp","71.61","68.02","68.72","203,577","-3.12","","4.34","Transportation","Marine Transportation","N/A","0.56","N/A","N/A","0.33","0.37","281.14M","109.80M","7.89B","16.01 - 89.41"
"DAL","Delta Air Lines Inc","37.62","36.42","37.01","10,104,258","-1.17","","3.06","Transportation","Air Freight/Delivery Services","10.16","1.91","4.97","2.4","2.6","0.9","7.45B","715.98M","27.34B","33.40 - 52.28"
"DAN","Dana Inc","22.25","21.27","21.79","602,235","-0.55","","2.46","Capital Goods","Auto Parts:O.E.M.","6.4","1.64","4.72","0.82","3.8","0.67","704.00M","144.80M","3.23B","18.60 - 28.44"
"DAO","Youdao Inc ADR","13.10","11.80","11.81","250,135","-1.55","","11.60","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7.02 - 42.17"
"DAR","Darling International Inc","64.73","62.64","63.42","1,287,890","0.11","","0.17","Consumer Non-Durables","Packaged Foods","35.09","15.14","0.51","N/A","1.41","0.83","428.51M","164.61M","10.42B","52.34 - 85.98"
"DASH","Doordash Inc Cl A","158.4","149.0","156.5","3,489,940","-1.5","","0.97","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","110.13 - 257.25"
"DAVA","Endava Plc ADR","153.0","144.1","148.2","110,657","-1.5","","1.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","68.54 - 172.41"
"DB","Deutsche Bank Ag","12.35","12.17","12.23","1,921,035","-0.18","","1.45","Finance","Major Banks","N/A","1.64","N/A","N/A","0.41","1.04","N/A","2.07B","25.63B","10.08 - 15.34"
"DBD","Diebold Nixdorf Inc","8.500","8.310","8.460","434,195","-0.100","","1.17","Miscellaneous","Office Equipment/Supplies/Services","N/A","1.39","N/A","1.98","2.6","0.34","243.00M","75.51M","646.37M","7.92 - 17.30"
"DBI","Designer Brands Inc","14.52","13.42","13.96","1,274,081","-0.45","","3.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6.87 - 20.48"
"DBL","Doubleline Opportunistic Credit Fund","18.96","18.80","18.85","49,474","-0.07","","0.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","18.75 - 20.35"
"DBR-H","Digitalbridge Group Inc [Dbrg/Ph]","25.13","25.04","25.13","6,527","0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"DBR-I","Digitalbridge Group Inc [Dbrg/Pi]","25.47","25.21","25.36","18,546","0.11","","0.44","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"DBR-J","Digitalbridge Group Inc [Dbrg/Pj]","26.22","26.00","26.20","16,790","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"DBRG","Digitalbridge Group Inc","8.100","7.820","8.080","3,122,881","0.030","","0.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"DCF","Dreyfus Alcentra Global Credit Income","9.400","9.360","9.360","1,500","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.30 - 9.99"
"DCI","Donaldson Company","58.99","57.96","58.70","289,320","-0.32","","0.54","Capital Goods","Pollution Control Equipment","27.66","2.58","1.74","1.49","7.4","2.64","403.80M","129.88M","7.67B","54.55 - 69.35"
"DCO","Ducommun Inc","45.50","43.92","44.80","33,275","-1.14","","2.48","Capital Goods","Military/Government/Technical","28.3","86.2","1.2","N/A","1.76","0.7","51.72M","11.32M","519.99M","42.20 - 65.40"
"DCP","Dcp Midstream LP","25.57","24.19","24.38","531,024","-0.88","","3.48","Consumer Services","Business Services","17.94","3.57","1.85","9.39","0.67","1.93","349.00M","143.20M","3.62B","17.75 - 33.85"
"DCP-B","Dcp Midstream LP [Dcp/Pb]","25.59","25.13","25.41","7,246","0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.76 - 26.26"
"DCP-C","Dcp Midstream LP [Dcp/Pc]","25.15","25.04","25.09","5,746","0.05","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.25 - 25.79"
"DCUE","Dominion Energy Inc 2019 Series A","99.79","98.45","99.74","34,748","0.76","","0.77","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","91.90 - 105.25"
"DD","Du Pont De.Nemours Inc","79.88","77.73","77.91","2,014,286","-2.13","","2.66","Basic Industries","Major Chemicals","32.79","N/A","2.56","N/A","5.99","2.88","5.32B","867.75M","69.45B","65.28 - 87.27"
"DDD","3D Systems Corp","22.22","20.98","21.49","1,129,091","-0.73","","3.29","","","N/A","2.68","N/A","N/A","2.07","2.1","32.54M","113.52M","2.52B","9.72 - 56.50"
"DDF","Delaware Dividend & Income","11.34","11.00","11.13","19,492","0.04","","0.36","Finance","Closed-End Fund - Debt","N/A","N/A","1.38","N/A","N/A","N/A","N/A","N/A","N/A","9.05 - 12.19"
"DDL","Dingdong [Cayman] Ltd ADR","15.90","13.18","15.46","281,808","2.28","","17.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"DDS","Dillard's","267.7","244.2","245.0","412,220","-22.6","","8.45","Consumer Services","Department/Specialty Retail Stores","13","N/A","4.04","0.74","0.98","0.25","507.14M","28.97M","7.75B","49.67 - 416.71"
"DDT","Dillard's","27.24","26.81","26.94","5,144","-0.02","","0.07","Consumer Services","Department/Specialty Retail Stores","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.44 - 28.03"
