"","code","name","high","low","close","volume","change","direction","price","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"696","CHD","Church & Dwight Company","96.07","95.30","95.65","1,388,709","0.11","","0.12","Basic Industries","Package Goods/Cosmetics","26.8","2.8","1.69","1.66","6.17","3.22","845.20M","249.56M","23.87B","77.62 - 96.26"
"697","CHE","Chemed Inc","514.7","498.3","514.1","98,682","13.6","","2.72","Health Care","Medical/Nursing Services","57.6","2.58","4.03","0.53","7.46","2.09","226.52M","15.98M","8.21B","403.00 - 560.00"
"698","CHGG","Chegg Inc","28.53","27.25","27.57","2,732,151","-0.43","","1.54","","","N/A","2.75","N/A","N/A","6.81","5.99","N/A","95.87M","2.64B","24.25 - 115.21"
"699","CHH","Choice Hotels International","147.4","145.0","146.9","214,112","0.7","","0.44","Consumer Services","Hotels/Resorts","25.82","2.17","2.71","1.23","N/A","4.12","286.69M","56.08M","8.24B","100.11 - 153.03"
"700","CHM-A","Cherry Hill Mtg Invt Corp [Chmi/Pa]","25.88","25.84","25.86","7,020","0.03","","0.11","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.61 - 26.82"
"701","CHM-B","Cherry Hill Mtg Invt Corp [Chmi/Pb]","25.70","25.64","25.64","460","-0.06","","0.23","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.48 - 26.40"
"702","CHMI","Cherry Hill Mortgage Investmen","8.900","8.650","8.690","236,364","-0.090","","1.03","","","3.14","N/A","5.9","10.48","0.92","3.56","N/A","12.71M","110.43M","8.41 - 10.68"
"703","CHN","China Fund","25.91","25.74","25.84","8,599","-0.18","","0.69","Finance","Closed-End Fund - Foreign","N/A","N/A","0.38","N/A","N/A","N/A","N/A","N/A","N/A","24.61 - 34.99"
"704","CHPT","Chargepoint Hldgs Inc","21.29","19.45","20.20","10,876,339","-0.49","","2.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"705","CHRA","Charah Solutions Inc","4.710","4.450","4.660","23,390","0.160","","3.56","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.56 - 6.63"
"706","CHRB","Charah Solutions Inc 8.50%","24.44","24.30","24.44","2,056","0.08","","0.33","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"707","CHS","Chico's Fas","5.660","5.280","5.380","1,187,385","-0.020","","0.37","Consumer Services","Clothing/Shoe/Accessory Stores","11.46","1","0.72","3.96","1.73","0.45","260.00M","127.74M","687.23M","1.38 - 7.29"
"708","CHT","Chunghwa Telecom Co. Ltd ADR","41.29","40.94","41.20","68,619","0.17","","0.41","Public Utilities","Telecommunications Equipment","20.98","N/A","1.62","4.84","2.27","3.46","2.59B","775.75M","31.96B","38.01 - 42.87"
"709","CHWY","Chewy Inc","53.38","50.05","51.76","17,655,880","-4.54","","8.06","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","55.95 - 120.00"
"710","CI","Cigna Corp","215.5","212.0","214.9","2,173,532","3.6","","1.72","Health Care","Hospital And Medical Service Plans","23.3","1.42","8.67","0.02","3.45","1.23","4.21B","251.76M","54.11B","190.88 - 272.81"
"711","CIA","Citizens Inc","5.860","5.770","5.840","17,735","0.060","","1.04","Finance","Life Insurance","68.73","N/A","0.11","N/A","1.45","1.5","10.29M","50.08M","292.47M","4.81 - 7.06"
"712","CIAN","Cian Plc ADR","13.05","12.45","12.50","139,179","-0.63","","4.80","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"713","CIB","Bancolombia S.A. ADR","33.14","32.57","32.91","140,024","-0.07","","0.21","Finance","Commercial Banks","9.34","1.59","4.24","3.03","1.38","2.74","N/A","240.33M","7.91B","27.64 - 42.00"
"714","CIEN","Ciena Corp","73.67","71.20","73.35","3,174,161","1.42","","1.97","","","22.9","0.76","0.91","N/A","3.21","1.09","361.58M","142.86M","10.48B","45.63 - 73.35"
"715","CIF","Colonial Intermediate High","2.980","2.850","2.950","98,785","0.070","","2.43","Finance","Closed-End Fund - Equity","N/A","N/A","0.32","N/A","N/A","N/A","N/A","N/A","N/A","2.43 - 3.40"
"716","CIG","Comp En DE MN Cemig ADR","2.510","2.450","2.470","5,289,758","0.020","","0.82","Public Utilities","Electric Utilities: Central","17.39","N/A","0.14","3.07","0.76","0.52","1.37B","1.26B","3.11B","1.95 - 2.98"
"717","CIG.C","Comp En DE MN Cemig Cl C ADR","3.340","3.230","3.340","118,530","0.010","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.33 - 3.55"
"718","CII","Blackrock Capital and Income Strategies","21.21","21.02","21.10","57,526","-0.04","","0.19","Finance","Closed-End Fund - Equity","N/A","N/A","1.12","N/A","N/A","N/A","N/A","N/A","N/A","17.14 - 21.84"
"719","CIM","Chimera Investment Corp","16.31","15.93","15.94","1,348,966","-0.29","","1.79","Consumer Services","Real Estate Investment Trusts","5.32","N/A","3.48","10.93","0.96","3.68","N/A","187.57M","2.99B","9.78 - 16.85"
"720","CIM-A","Chimera Invt Corp [Cim/Pa]","25.60","25.55","25.56","8,986","-0.08","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.75 - 26.00"
"721","CIM-B","Chimera Invt Corp [Cim/Pb]","25.74","25.47","25.56","21,755","-0.04","","0.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22.35 - 26.59"
"722","CIM-C","Chimera Invt Corp [Cim/Pc]","25.97","25.76","25.97","2,090","0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.96 - 26.75"
"723","CIM-D","Chimera Invt Corp [Cim/Pd]","25.88","25.55","25.65","28,288","-0.18","","0.70","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.43 - 26.59"
"724","CINR","Ciner Resources LP","16.60","16.12","16.52","16,769","0.11","","0.64","","","12.59","N/A","1.99","9.05","3.52","1.04","115.10M","20.13M","332.53M","11.73 - 20.00"
"725","CINT","CI&T Inc Cl A","14.17","13.12","13.79","191,831","0.54","","4.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"726","CIO","City Office REIT Inc","18.47","17.85","17.91","198,929","-0.38","","2.08","","","N/A","N/A","N/A","7.24","1.96","4.34","47.13M","30.26M","541.99M","9.08 - 19.33"
"727","CIO-A","City Office REIT Inc [Cio/Pa]","25.48","25.35","25.48","3,084","0.06","","0.24","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.60 - 28.19"
"728","CION","Cion Investment Corp","14.82","13.61","13.77","206,237","-0.95","","6.45","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"729","CIR","Circor International","28.56","27.33","27.45","33,601","-0.85","","3.00","Capital Goods","Metal Fabrications","51.23","5.23","0.97","0.28","2.05","1.52","56.70M","16.50M","452.90M","25.83 - 43.20"
"730","CIT","Cit Group Inc","50.25","48.96","49.27","231,241","-0.58","","1.16","Finance","Finance: Consumer Services","N/A","3.36","N/A","1.36","0.91","2.97","N/A","135.45M","6.67B","34.77 - 56.62"
"731","CIT-B","Cit Group Inc 5.625% Prf Perpetual USD","26.50","26.33","26.33","7,280","-0.04","","0.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.14 - 27.43"
"732","CIVI","Civitas Resources Inc","58.34","57.00","58.03","981,909","1.55","","2.74","","","35.77","2.69","0.52","N/A","4.03","0.48","150.24M","37.36M","2.17B","12.10 - 17.89"
"733","CIXX","CI Financial Corp OR","22.34","21.76","21.83","45,668","-0.38","","1.71","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.71 - 24.52"
"734","CL","Colgate-Palmolive Company","79.60","78.23","79.47","3,930,568","1.47","","1.88","Consumer Non-Durables","Package Goods/Cosmetics","26.16","3.24","2.69","2.25","N/A","4.13","4.42B","880.82M","70.00B","74.01 - 86.21"
"735","CLA.S","Class Acceleration Corp [Clas.U]","10.010","9.960","10.000","117,334","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"736","CLA.T","Class Acceleration Corp WT [Clas/W]","0.6000","0.5200","0.6000","59,507","0.0500","","9.09","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"737","CLA.U","Colonnade Acquisition Corp II [Claa.U]","9.980","9.960","9.980","4,791","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.70 - 19.50"
"738","CLA.W","Colonnade Acquisition Corp II WT","0.7941","0.7841","0.7844","1,000","-0.0735","","8.57","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"739","CLAA","Colonnade Acquisition Corp II Cl A","9.770","9.720","9.750","1,706","-0.050","","0.51","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"740","CLAS","Class Acceleration Corp Cl A","9.750","9.710","9.730","146,456","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"741","CLB","Core Laboratories N.V.","25.17","23.96","24.65","376,997","0.13","","0.53","Energy","Oilfield Services/Equipment","58.36","1.29","1.63","2.36","27.84","6.68","123.03M","44.15M","1.09B","21.87 - 49.87"
"742","CLB.U","Colombier Acquisition Corp [Clbr.U]","9.920","9.810","9.920","10,754","-0.030","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"743","CLB.W","Colombier Acquisition Corp WT [Clbr/W]","0.6000","0.5651","0.5998","4,345","-0.0187","","3.02","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"744","CLBR","Colombier Acquisition Corp Cl A","9.680","9.640","9.670","9,818","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"745","CLD-A","Chatham Lodging Trust Pfd.","26.05","25.94","26.05","309","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"746","CLDT","Chatham Lodging Trust REIT","13.10","12.90","13.00","250,062","0.00","","0.00","Consumer Services","Real Estate Investment Trusts","32.55","3.02","0.66","6.17","1.24","2.89","106.69M","39.17M","509.18M","10.26 - 14.95"
"747","CLF","Cleveland-Cliffs Inc","21.27","20.02","20.26","16,913,442","-0.76","","3.62","Basic Industries","Precious Metals","28.94","N/A","0.22","N/A","N/A","0.83","480.50M","296.36M","6.00B","12.77 - 26.51"
"748","CLH","Clean Harbors","101.02","96.03","97.79","519,305","-2.19","","2.19","Basic Industries","Environmental Services","N/A","185.93","N/A","N/A","2.85","1.09","415.29M","57.06M","5.58B","71.65 - 118.89"
"749","CLI","Mack-Cali Realty Corp","18.53","17.99","18.35","867,500","-0.04","","0.22","Consumer Services","Real Estate Investment Trusts","N/A","43.11","N/A","3.52","1.37","3.14","321.83M","89.83M","1.65B","11.74 - 19.90"
"750","CLI.S","Climate Real Impact II Acquisition","10.06","10.03","10.03","26,679","-0.02","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"751","CLI.T","Climate Real Impact II Acquisition WT","1.140","1.070","1.140","4,115","0.020","","1.79","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"752","CLIM","Climate Real Impact Solutions II","9.820","9.770","9.780","30,533","-0.050","","0.51","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"753","CLPR","Clipper Realty Inc","9.460","8.970","8.990","63,725","-0.330","","3.54","","","N/A","N/A","N/A","3.42","2.51","1.98","43.09M","17.81M","160.13M","6.16 - 9.98"
"754","CLR","Continental Resources","46.75","44.27","45.92","1,300,447","0.14","","0.31","Energy","Oil & Gas Production","N/A","354.07","N/A","N/A","3.34","6","1.75B","371.09M","17.04B","15.71 - 55.48"
"755","CLS","Celestica Inc","10.70","10.46","10.68","309,823","0.11","","1.04","Technology","Electrical Products","11.72","18.74","0.92","N/A","1.29","0.27","256.20M","142.86M","1.53B","7.01 - 11.88"
"756","CLV-A","Clarivate Plc","93.78","92.66","93.64","2,700","-0.08","","0.09","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"757","CLVT","Clarivate Analytics Plc","24.66","24.12","24.48","2,532,057","0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"758","CLW","Clearwater Paper Corp","41.60","40.88","41.17","67,117","-0.45","","1.08","Basic Industries","Paper","29.56","4.04","1.55","N/A","1.57","0.44","167.90M","16.43M","676.54M","27.30 - 45.81"
"759","CLX","Clorox Company","169.1","167.1","168.5","786,910","1.6","","0.96","Consumer Durables","Specialty Chemicals","23.81","3.43","5.34","2.63","30.44","2.76","1.26B","129.10M","21.76B","156.23 - 231.11"
"760","CM","Canadian Imperial Bank of Commerce","112.4","111.2","111.7","270,420","0.1","","0.09","Finance","Commercial Banks","9.75","4.43","9.05","4.74","1.66","3.14","N/A","435.94M","48.67B","83.93 - 123.13"
"761","CMA","Comerica Inc","85.34","82.64","84.53","1,230,654","0.69","","0.82","Finance","Major Banks","18.08","0.63","4.41","1.51","1.72","4.66","N/A","173.58M","14.67B","51.03 - 91.62"
"762","CMC","Commercial Metals Company","34.23","32.61","32.97","871,446","-0.07","","0.21","Basic Industries","Steel/Iron Ore","30.39","0.86","0.65","2.46","1.59","0.47","306.06M","115.97M","3.82B","19.44 - 36.86"
"763","CMCM","Cheetah Mobile Inc ADR","1.350","1.310","1.330","94,849","0.000","","0.00","","","38.23","17.67","0.24","N/A","2.29","1.53","44.89M","139.07M","184.97M","1.22 - 5.00"
"764","CMG","Chipotle Mexican Grill","1,740","1,712","1,721","175,465","-1","","0.07","Consumer Services","Restaurants","59.36","0.38","4.65","N/A","5.55","1.86","397.78M","28.50M","49.06B","1,256.27 - 1,958.55"
"765","CMI","Cummins Inc","221.5","217.5","218.1","755,460","-1.5","","0.67","Energy","Industrial Machinery/Components","20.29","1.23","8.85","2.42","3.98","1.63","2.35B","167.02M","36.43B","209.09 - 277.09"
"766","CMP","Compass Minerals Intl Inc","52.48","51.38","51.96","266,921","0.11","","0.21","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","18.51","6.19","3.58","4.31","3.26","1.83","248.20M","33.81M","1.76B","47.10 - 75.44"
"767","CMR-B","Costamare Inc [Cmre/Pb]","25.77","25.56","25.77","795","0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.61 - 26.97"
"768","CMR-C","Costamare Inc [Cmre/Pc]","26.24","26.16","26.24","1,301","-0.01","","0.06","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.75 - 26.80"
"769","CMR-D","Costamare Inc [Cmre/Pd]","26.37","26.35","26.36","3,939","0.05","","0.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.12 - 27.08"
"770","CMR-E","Costamare Inc [Cmre/Pe]","27.00","26.83","26.93","2,278","-0.03","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.47 - 28.50"
"771","CMRE","Costamare Inc","12.36","12.00","12.08","438,535","-0.17","","1.39","Transportation","Marine Transportation","15.74","N/A","0.4","6.54","0.54","1.48","280.04M","105.99M","1.28B","7.49 - 16.72"
"772","CMS","Cms Energy Corp","62.83","61.99","62.53","1,168,680","0.38","","0.61","Public Utilities","Power Generation","24.34","1.48","1.98","2.76","3.03","2.08","2.06B","281.54M","17.60B","53.19 - 65.79"
"773","CMS-B","Consumers Energy Company [Cms/Pb]","109.4","109.4","109.4","17","-0.4","","0.33","Public Utilities","Power Generation","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","106.09 - 112.50"
"774","CMS-C","Cms Energy Corp","25.05","24.90","24.90","49,759","-0.07","","0.28","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"775","CMSA","Cms Energy Corp 5.625% Junior","25.99","25.82","25.85","8,824","-0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.65 - 28.50"
"776","CMSC","Cms Energy Corp","26.94","26.78","26.86","8,528","-0.03","","0.11","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.42 - 28.55"
"777","CMSD","Cms Energy Corp 5.875% Junior","26.63","26.45","26.51","28,318","-0.08","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.00 - 28.17"
"778","CMTG","Claros Mortgage Trust Inc","17.40","16.94","17.21","51,319","0.42","","2.50","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"779","CMU","Colonial Muni Income Trust","4.530","4.500","4.520","20,565","-0.010","","0.22","Finance","Closed-End Fund - Debt","N/A","N/A","0.12","N/A","N/A","N/A","N/A","N/A","N/A","4.32 - 4.90"
"780","CNA","Cna Financial Corp","44.46","44.02","44.11","56,064","0.02","","0.05","Finance","Property-Casualty Insurers","12.36","4.24","4.11","2.37","1.14","1.44","1.75B","270.92M","11.95B","36.78 - 49.08"
"781","CNC","Centene Corp","79.74","76.41","78.45","7,199,724","3.58","","4.78","Health Care","Hospital And Medical Service Plans","20.72","1.37","4.56","N/A","2.46","0.36","2.19B","172.44M","13.53B","57.16 - 77.65"
"782","CND","Concord Acquisition Corp Cl A","10.80","10.50","10.57","247,915","-0.12","","1.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"783","CND.S","Concord Acquisition Corp II [Cnda.U]","10.10","10.10","10.10","15,400","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"784","CND.T","Concord Acquisition Corp II WT [Cnda/W]","0.9000","0.8800","0.8800","26,300","-0.0200","","2.22","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"785","CND.U","Concord Acquisition Corp","12.13","10.15","10.15","48,018","-2.13","","17.35","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.81 - 15.25"
"786","CND.W","Concord Acquisition Corp WT","2.740","2.520","2.600","21,781","-0.080","","2.99","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"787","CNDA","Concord Acquisition Corp II Cl A","9.800","9.800","9.800","200,300","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"788","CNF","Cnfinance Holdings Ltd ADR","5.430","4.980","5.050","154,139","-0.220","","4.17","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","52.32K","264.21K","2.95 - 6.34"
"789","CNHI","CNH Industrial N.V.","17.87","17.66","17.77","3,343,874","-0.06","","0.34","","","38.97","0.93","0.31","0.99","3.72","0.68","2.44B","1.36B","24.24B","10.83 - 19.22"
"790","CNI","Canadian National Railway","130.3","128.6","129.4","1,229,627","0.7","","0.57","Transportation","Railroads","19.43","3.79","4.18","1.61","4.94","5.81","5.65B","750.98M","97.21B","100.66 - 136.22"
"791","CNK","Cinemark Holdings Inc","16.91","16.38","16.88","2,411,785","-0.02","","0.12","Consumer Services","Movies/Entertainment","15.74","1.19","2.34","3.23","3.22","1.42","678.63M","115.91M","1.96B","13.84 - 27.84"
"792","CNM","Core & Main Inc Cl A","27.79","25.92","26.38","319,095","-1.24","","4.49","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"793","CNMD","C O N M E D Cp","139.3","136.0","136.9","178,065","-1.1","","0.78","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","101.69 - 159.11"
"794","CNNE","Cannae Holdings Inc","34.72","33.62","33.89","474,525","-0.14","","0.41","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29.16 - 46.57"
"795","CNO","Cno Financial Group","23.96","23.62","23.68","626,484","-0.05","","0.21","Finance","Accident &Health Insurance","10.73","1.7","2.29","1.47","0.87","1","935.40M","169.04M","4.00B","21.06 - 27.89"
"796","CNO-A","Cno Financial Group Inc 5.125%","25.96","25.78","25.78","1,372","0.05","","0.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.39 - 27.85"
"797","CNP","Centerpoint Energy Inc","27.94","27.58","27.87","3,863,764","0.33","","1.20","Public Utilities","Electric Utilities: Central","21.25","3.02","1.4","3.63","3.57","1.44","2.08B","430.92M","12.01B","19.31 - 28.06"
"798","CNQ","Canadian Natural Resources","42.16","41.02","41.62","2,423,164","0.14","","0.34","Energy","Oil & Gas Production","29.55","13.55","1.14","2.69","1.56","3.69","5.09B","1.22B","50.58B","22.40 - 44.33"
"799","CNR","Cornerstone Building Brands Inc","16.56","15.93","16.05","299,770","-0.38","","2.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.91 - 19.73"
"800","CNS","Cohn & Steers Inc","91.76","90.12","90.62","121,657","-0.02","","0.02","Finance","Investment Managers","21.19","2.18","2.06","2.64","6.78","5.37","150.50M","46.29M","4.19B","62.43 - 101.22"
"801","CNVY","Convey Holding Parent Inc","6.790","6.590","6.640","188,338","0.020","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"802","CNX","CNX Resources Corp","14.59","14.16","14.57","2,151,326","0.32","","2.25","Energy","Coal Mining","N/A","0.92","N/A","N/A","0.92","1.53","678.95M","229.78M","3.35B","10.01 - 16.08"
"803","CO","Global Cord Blood Corp","4.030","3.960","3.960","36,816","-0.070","","1.74","Finance","Business Services","38.37","N/A","0.31","N/A","2.85","10.24","53.01M","113.24M","448.43M","3.46 - 6.31"
"804","COD-A","Compass Div Holdings [Codi/Pa]","25.56","25.49","25.55","1,687","0.05","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.67 - 27.38"
"805","COD-B","Compass Div Holdings [Codi/Pb]","27.72","27.27","27.50","5,266","0.11","","0.39","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.00 - 27.95"
"806","COD-C","Compass Div Holdings [Codi/Pc]","26.52","26.36","26.46","7,427","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.63 - 26.98"
"807","CODI","Compass Diversified Holdings","33.31","32.53","32.83","645,569","0.42","","1.30","Technology","Professional Services","N/A","1.55","N/A","8.28","1.36","0.89","199.58M","59.83M","1.96B","18.81 - 32.97"
"808","COE","China Online Education Group ADR","1.600","1.450","1.570","212,883","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","2.8","N/A","20.02M","31.44M","1.05 - 29.60"
"809","COF","Capital One Financial Corp","151.5","148.5","150.4","2,390,537","1.2","","0.83","Finance","Major Banks","13.53","1.62","6.86","1.73","1","2.34","N/A","484.05M","72.81B","89.72 - 177.95"
"810","COF-G","Capital One Financial Corp [Cof/Pg]","25.00","24.98","25.00","72,400","0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.85 - 26.75"
"811","COF-H","Capital One Financial Corp [Cof/Ph]","25.00","24.98","25.00","64,100","0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.98 - 26.72"
"812","COF-I","Capital One Financial Corp [Cof/Pi]","26.36","26.16","26.17","58,835","-0.09","","0.34","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.55 - 27.41"
"813","COF-J","Capital One Financial Corp [Cof/Pj]","26.00","25.85","25.91","38,486","-0.04","","0.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.01 - 26.74"
"814","COF-K","Capital One Financial Corp","25.96","25.80","25.85","1,595","0.03","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.51 - 26.84"
"815","COF-L","Capital One Financial Corp","25.31","25.21","25.23","52,571","-0.04","","0.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"816","COF-N","Capital One Financial Corp","25.13","24.98","25.04","37,435","-0.05","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"817","COLD","Americold Realty Trust","32.91","32.26","32.36","1,204,512","-0.05","","0.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","27.88 - 40.85"
"818","COMP","Compass Inc Cl A","10.81","10.14","10.33","2,091,877","-0.01","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"819","COO","Cooper Companies","411.0","396.9","399.6","376,773","-8.9","","2.17","Health Care","Ophthalmic Goods","35.05","1.9","6.97","0.02","3.8","5.61","641.95M","48.93M","19.55B","337.40 - 463.59"
"820","COOK","Traeger Inc","13.32","12.84","13.24","838,988","0.28","","2.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"821","COP","Conocophillips","73.65","71.59","73.49","5,948,334","0.94","","1.30","Energy","Integrated oil Companies","N/A","N/A","N/A","2.11","2.07","2.23","7.50B","1.22B","89.43B","38.77 - 77.98"
"822","COR","Coresite Realty Corp","170.3","170.0","170.1","952,296","0.1","","0.03","Consumer Services","Real Estate Investment Trusts","63.6","2.74","1.74","3.27","12.39","8.49","232.47M","34.20M","5.82B","107.23 - 173.57"
"823","COR-Z","Corenergy Infrastructure TR IN [Corr/Pa]","19.66","19.00","19.36","20,836","-0.16","","0.82","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","16.47 - 25.20"
"824","COR.U","Corsair Partnering Corp [Cors.U]","9.980","9.980","9.980","300","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"825","COR.W","Corsair Partnering Corp WT [Cors/W]","0.8000","0.8000","0.8000","25,000","-0.0022","","0.27","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"826","CORR","Corenergy Infrastructure Trust Inc","3.740","3.490","3.590","430,339","-0.260","","6.75","","","14.71","8.05","2.42","8.52","1.22","4.72","71.15M","11.90M","42.73M","3.68 - 11.04"
"827","CORS","Corsair Partnering Corporation Cl A","9.840","9.800","9.810","23,486","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"828","COTY","Coty Inc","10.35","10.05","10.15","5,229,011","0.02","","0.20","","","N/A","1.27","N/A","3.35","1.22","1.49","1.03B","748.49M","7.60B","6.20 - 11.12"
"829","COUR","Coursera Inc","27.10","25.53","25.81","1,591,470","-0.59","","2.23","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"830","CP","Canadian Pacific Railway","72.83","71.14","72.58","14,476,105","0.54","","0.75","Transportation","Railroads","17.22","2.54","10.12","1.04","5.54","4.76","2.76B","145.50M","10.56B","64.37 - 404.43"
