"code","name","high","low","close","volume","change_absolute","direction","change_percent","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"CFR-B","Cullen/Frost Bankers Inc","25.70","25.52","25.61","7,900","-0.04","","0.14","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.26 - 27.00"
"CFX","Colfax Corp","44.95","44.27","44.50","1,116,100","-0.30","","0.67","Capital Goods","Fluid Controls","33.22","2.01","1.27","N/A","1.66","1.45","446.48M","122.93M","5.58B","34.94 - 54.67"
"CFXA","Colfax Corp Tangible Equity Unit","181.3","178.9","178.9","1,000","-3.6","","1.97","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","148.30 - 212.81"
"CGA","China Green Agriculture","10.80","10.50","10.50","7,300","-0.28","","2.60","Basic Industries","Agricultural Chemicals","1.82","N/A","0.68","N/A","0.13","0.17","21.92M","38.55M","407.07M","2.26 - 17.73"
"CGAU","Centerra Gold Inc","6.913","6.710","6.850","61,300","-0.050","","0.72","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CHA.S","Catcha Investment Corp [Chaa.U]","9.910","9.910","9.910","500","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CHA.T","Catcha Investment Corp WT [Chaa/W]","0.6700","0.6500","0.6550","23,400","-0.0150","","2.24","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CHAA","Catcha Investment Corp Cl A","9.730","9.730","9.730","400","-0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CHCT","Community Healthcare Trust Inc","44.83","44.10","44.54","109,700","-0.04","","0.09","","","101.57","N/A","0.27","5.64","1.88","11.3","20.43M","12.69M","564.52M","42.55 - 52.54"
"CHD","Church & Dwight Company","98.21","97.08","97.91","1,461,500","0.15","","0.15","Basic Industries","Package Goods/Cosmetics","26.8","2.8","1.69","1.66","6.17","3.22","845.20M","249.56M","23.87B","77.62 - 96.26"
"CHE","Chemed Inc","519.1","503.9","513.3","93,100","-0.8","","0.15","Health Care","Medical/Nursing Services","57.6","2.58","4.03","0.53","7.46","2.09","226.52M","15.98M","8.21B","403.00 - 560.00"
"CHGG","Chegg Inc","28.49","27.31","27.47","2,658,900","-0.45","","1.61","","","N/A","2.75","N/A","N/A","6.81","5.99","N/A","95.87M","2.64B","24.25 - 115.21"
"CHH","Choice Hotels International","145.0","142.4","142.8","232,800","-1.1","","0.74","Consumer Services","Hotels/Resorts","25.82","2.17","2.71","1.23","N/A","4.12","286.69M","56.08M","8.24B","100.11 - 153.03"
"CHM-A","Cherry Hill Mtg Invt Corp [Chmi/Pa]","25.85","25.85","25.85","1,000","0.05","","0.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.61 - 26.82"
"CHM-B","Cherry Hill Mtg Invt Corp [Chmi/Pb]","25.65","25.44","25.65","4,000","0.05","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.48 - 26.40"
"CHMI","Cherry Hill Mortgage Investmen","8.290","8.090","8.160","326,400","0.020","","0.25","","","3.14","N/A","5.9","10.48","0.92","3.56","N/A","12.71M","110.43M","8.41 - 10.68"
"CHN","China Fund","25.61","25.32","25.37","15,900","-0.34","","1.32","Finance","Closed-End Fund - Foreign","N/A","N/A","0.38","N/A","N/A","N/A","N/A","N/A","N/A","24.61 - 34.99"
"CHPT","Chargepoint Hldgs Inc","20.74","19.24","19.50","12,130,900","-1.39","","6.65","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CHRA","Charah Solutions Inc","4.640","4.410","4.410","63,700","-0.090","","2.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.56 - 6.63"
"CHRB","Charah Solutions Inc 8.50%","24.49","24.25","24.47","20,900","0.08","","0.33","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CHS","Chico's Fas","5.262","4.995","5.110","1,249,000","0.010","","0.20","Consumer Services","Clothing/Shoe/Accessory Stores","11.46","1","0.72","3.96","1.73","0.45","260.00M","127.74M","687.23M","1.38 - 7.29"
"CHT","Chunghwa Telecom Co. Ltd ADR","41.00","40.63","40.78","89,600","-0.14","","0.34","Public Utilities","Telecommunications Equipment","20.98","N/A","1.62","4.84","2.27","3.46","2.59B","775.75M","31.96B","38.01 - 42.87"
"CHWY","Chewy Inc","56.22","53.52","54.87","5,980,500","-0.39","","0.71","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","55.95 - 120.00"
"CI","Cigna Corp","217.9","212.9","216.6","2,605,400","1.5","","0.68","Health Care","Hospital And Medical Service Plans","23.3","1.42","8.67","0.02","3.45","1.23","4.21B","251.76M","54.11B","190.88 - 272.81"
"CIA","Citizens Inc","5.800","5.590","5.650","84,400","0.030","","0.53","Finance","Life Insurance","68.73","N/A","0.11","N/A","1.45","1.5","10.29M","50.08M","292.47M","4.81 - 7.06"
"CIAN","Cian Plc ADR","12.56","11.76","11.77","45,400","-0.46","","3.76","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CIB","Bancolombia S.A. ADR","31.80","30.87","30.97","246,000","-0.75","","2.36","Finance","Commercial Banks","9.34","1.59","4.24","3.03","1.38","2.74","N/A","240.33M","7.91B","27.64 - 42.00"
"CIEN","Ciena Corp","75.45","73.66","73.98","1,920,700","-0.14","","0.19","","","22.9","0.76","0.91","N/A","3.21","1.09","361.58M","142.86M","10.48B","45.63 - 73.35"
"CIF","Colonial Intermediate High","2.950","2.730","2.810","57,600","-0.130","","4.42","Finance","Closed-End Fund - Equity","N/A","N/A","0.32","N/A","N/A","N/A","N/A","N/A","N/A","2.43 - 3.40"
"CIG","Comp En DE MN Cemig ADR","2.515","2.440","2.440","9,490,200","-0.010","","0.41","Public Utilities","Electric Utilities: Central","17.39","N/A","0.14","3.07","0.76","0.52","1.37B","1.26B","3.11B","1.95 - 2.98"
"CIG.C","Comp En DE MN Cemig Cl C ADR","3.310","3.190","3.310","65,000","0.010","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.33 - 3.55"
"CII","Blackrock Capital and Income Strategies","21.18","20.92","21.10","110,900","0.08","","0.38","Finance","Closed-End Fund - Equity","N/A","N/A","1.12","N/A","N/A","N/A","N/A","N/A","N/A","17.14 - 21.84"
"CIM","Chimera Investment Corp","15.62","15.16","15.23","1,803,000","-0.24","","1.55","Consumer Services","Real Estate Investment Trusts","5.32","N/A","3.48","10.93","0.96","3.68","N/A","187.57M","2.99B","9.78 - 16.85"
"CIM-A","Chimera Invt Corp [Cim/Pa]","25.65","25.58","25.61","5,100","0.05","","0.18","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.75 - 26.00"
"CIM-B","Chimera Invt Corp [Cim/Pb]","25.57","25.41","25.43","14,500","-0.07","","0.27","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22.35 - 26.59"
"CIM-C","Chimera Invt Corp [Cim/Pc]","25.84","25.70","25.72","4,700","-0.11","","0.42","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.96 - 26.75"
"CIM-D","Chimera Invt Corp [Cim/Pd]","25.58","25.50","25.53","1,400","0.04","","0.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.43 - 26.59"
"CINR","Ciner Resources LP","16.44","16.22","16.38","9,600","0.21","","1.30","","","12.59","N/A","1.99","9.05","3.52","1.04","115.10M","20.13M","332.53M","11.73 - 20.00"
"CINT","CI&T Inc Cl A","14.82","14.02","14.48","401,600","0.09","","0.63","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CIO","City Office REIT Inc","17.81","17.35","17.53","428,100","0.03","","0.17","","","N/A","N/A","N/A","7.24","1.96","4.34","47.13M","30.26M","541.99M","9.08 - 19.33"
"CIO-A","City Office REIT Inc [Cio/Pa]","25.61","25.50","25.50","5,700","-0.12","","0.47","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.60 - 28.19"
"CION","Cion Investment Corp","13.05","12.75","12.92","154,700","-0.08","","0.62","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CIR","Circor International","26.20","25.56","26.01","100,300","-0.05","","0.19","Capital Goods","Metal Fabrications","51.23","5.23","0.97","0.28","2.05","1.52","56.70M","16.50M","452.90M","25.83 - 43.20"
"CIT","Cit Group Inc","48.27","46.77","46.91","580,900","-0.16","","0.34","Finance","Finance: Consumer Services","N/A","3.36","N/A","1.36","0.91","2.97","N/A","135.45M","6.67B","34.77 - 56.62"
"CIT-B","Cit Group Inc 5.625% Prf Perpetual USD","26.23","26.11","26.16","3,500","0.10","","0.38","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.14 - 27.43"
"CIVI","Civitas Resources Inc","56.49","54.15","54.44","1,192,300","-1.66","","2.96","","","35.77","2.69","0.52","N/A","4.03","0.48","150.24M","37.36M","2.17B","12.10 - 17.89"
"CIXX","CI Financial Corp OR","20.92","20.31","20.51","56,200","-0.55","","2.61","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.71 - 24.52"
"CL","Colgate-Palmolive Company","82.34","81.07","82.13","7,682,500","0.99","","1.22","Consumer Non-Durables","Package Goods/Cosmetics","26.16","3.24","2.69","2.25","N/A","4.13","4.42B","880.82M","70.00B","74.01 - 86.21"
"CLA.S","Class Acceleration Corp [Clas.U]","9.980","9.940","9.980","13,900","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLA.T","Class Acceleration Corp WT [Clas/W]","0.5675","0.5378","0.5675","39,700","0.0096","","1.72","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLA.U","Colonnade Acquisition Corp II [Claa.U]","9.880","9.860","9.860","26,200","-0.105","","1.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.70 - 19.50"
"CLA.W","Colonnade Acquisition Corp II WT","0.8601","0.8200","0.8200","3,300","0.0356","","4.54","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLAA","Colonnade Acquisition Corp II Cl A","9.730","9.730","9.730","4,300","-0.050","","0.51","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLAS","Class Acceleration Corp Cl A","9.720","9.680","9.710","28,900","-0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLB","Core Laboratories N.V.","23.89","22.70","22.72","317,200","-0.92","","3.89","Energy","Oilfield Services/Equipment","58.36","1.29","1.63","2.36","27.84","6.68","123.03M","44.15M","1.09B","21.87 - 49.87"
"CLB.U","Colombier Acquisition Corp [Clbr.U]","9.910","9.860","9.910","1,200","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLB.W","Colombier Acquisition Corp WT [Clbr/W]","0.6099","0.5900","0.6000","69,600","-0.0097","","1.59","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLBR","Colombier Acquisition Corp Cl A","9.650","9.640","9.650","5,400","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLD-A","Chatham Lodging Trust Pfd.","26.17","26.05","26.13","5,100","0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLDT","Chatham Lodging Trust REIT","13.46","12.84","13.20","483,600","0.33","","2.56","Consumer Services","Real Estate Investment Trusts","32.55","3.02","0.66","6.17","1.24","2.89","106.69M","39.17M","509.18M","10.26 - 14.95"
"CLF","Cleveland-Cliffs Inc","20.94","19.99","20.47","15,522,100","0.34","","1.69","Basic Industries","Precious Metals","28.94","N/A","0.22","N/A","N/A","0.83","480.50M","296.36M","6.00B","12.77 - 26.51"
"CLH","Clean Harbors","99.45","97.07","97.69","296,500","0.09","","0.09","Basic Industries","Environmental Services","N/A","185.93","N/A","N/A","2.85","1.09","415.29M","57.06M","5.58B","71.65 - 118.89"
"CLI","Mack-Cali Realty Corp","18.53","17.99","18.35","867,500","-0.04","","0.22","Consumer Services","Real Estate Investment Trusts","N/A","43.11","N/A","3.52","1.37","3.14","321.83M","89.83M","1.65B","11.74 - 19.90"
"CLI.S","Climate Real Impact II Acquisition","10.05","10.03","10.03","22,100","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLI.T","Climate Real Impact II Acquisition WT","1.130","1.040","1.050","18,200","-0.050","","4.55","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLIM","Climate Real Impact Solutions II","9.810","9.750","9.810","118,700","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLPR","Clipper Realty Inc","9.100","8.840","9.030","69,500","0.030","","0.33","","","N/A","N/A","N/A","3.42","2.51","1.98","43.09M","17.81M","160.13M","6.16 - 9.98"
"CLR","Continental Resources","44.32","42.81","42.96","1,873,500","-1.05","","2.39","Energy","Oil & Gas Production","N/A","354.07","N/A","N/A","3.34","6","1.75B","371.09M","17.04B","15.71 - 55.48"
"CLS","Celestica Inc","10.48","10.26","10.38","317,800","0.00","","0.00","Technology","Electrical Products","11.72","18.74","0.92","N/A","1.29","0.27","256.20M","142.86M","1.53B","7.01 - 11.88"
"CLV-A","Clarivate Plc","93.37","92.54","93.00","24,900","-1.53","","1.62","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLVT","Clarivate Analytics Plc","24.87","23.95","24.29","5,266,700","-0.65","","2.61","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CLW","Clearwater Paper Corp","40.82","39.22","39.41","116,400","-1.25","","3.07","Basic Industries","Paper","29.56","4.04","1.55","N/A","1.57","0.44","167.90M","16.43M","676.54M","27.30 - 45.81"
"CLX","Clorox Company","173.9","171.2","172.7","1,244,700","0.6","","0.34","Consumer Durables","Specialty Chemicals","23.81","3.43","5.34","2.63","30.44","2.76","1.26B","129.10M","21.76B","156.23 - 231.11"
"CM","Canadian Imperial Bank of Commerce","111.5","110.1","110.7","297,900","0.3","","0.27","Finance","Commercial Banks","9.75","4.43","9.05","4.74","1.66","3.14","N/A","435.94M","48.67B","83.93 - 123.13"
"CMA","Comerica Inc","84.17","81.63","83.73","1,811,200","1.78","","2.17","Finance","Major Banks","18.08","0.63","4.41","1.51","1.72","4.66","N/A","173.58M","14.67B","51.03 - 91.62"
"CMC","Commercial Metals Company","33.82","32.60","32.85","1,594,600","0.15","","0.46","Basic Industries","Steel/Iron Ore","30.39","0.86","0.65","2.46","1.59","0.47","306.06M","115.97M","3.82B","19.44 - 36.86"
"CMCM","Cheetah Mobile Inc ADR","1.300","1.190","1.200","100,800","-0.080","","6.25","","","38.23","17.67","0.24","N/A","2.29","1.53","44.89M","139.07M","184.97M","1.22 - 5.00"
"CMG","Chipotle Mexican Grill","1,688","1,656","1,677","158,000","-14","","0.81","Consumer Services","Restaurants","59.36","0.38","4.65","N/A","5.55","1.86","397.78M","28.50M","49.06B","1,256.27 - 1,958.55"
"CMI","Cummins Inc","219.1","215.0","216.6","975,200","0.5","","0.21","Energy","Industrial Machinery/Components","20.29","1.23","8.85","2.42","3.98","1.63","2.35B","167.02M","36.43B","209.09 - 277.09"
"CMP","Compass Minerals Intl Inc","53.86","51.99","52.54","979,300","-0.50","","0.94","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","18.51","6.19","3.58","4.31","3.26","1.83","248.20M","33.81M","1.76B","47.10 - 75.44"
"CMR-B","Costamare Inc [Cmre/Pb]","25.58","25.58","25.58","300","0.00","","0.02","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.61 - 26.97"
"CMR-C","Costamare Inc [Cmre/Pc]","26.25","26.11","26.25","2,500","0.14","","0.54","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.75 - 26.80"
"CMR-D","Costamare Inc [Cmre/Pd]","26.45","26.15","26.45","7,500","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.12 - 27.08"
"CMR-E","Costamare Inc [Cmre/Pe]","27.00","26.61","27.00","9,100","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.47 - 28.50"
"CMRE","Costamare Inc","11.79","11.40","11.43","468,200","-0.25","","2.14","Transportation","Marine Transportation","15.74","N/A","0.4","6.54","0.54","1.48","280.04M","105.99M","1.28B","7.49 - 16.72"
"CMS","Cms Energy Corp","63.99","63.36","63.47","1,413,800","-0.27","","0.42","Public Utilities","Power Generation","24.34","1.48","1.98","2.76","3.03","2.08","2.06B","281.54M","17.60B","53.19 - 65.79"
"CMS-B","Consumers Energy Company [Cms/Pb]","110.4","109.7","110.4","100","1.1","","1.02","Public Utilities","Power Generation","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","106.09 - 112.50"
"CMS-C","Cms Energy Corp","24.99","24.79","24.87","87,900","-0.07","","0.28","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CMSA","Cms Energy Corp 5.625% Junior","25.88","25.80","25.82","14,000","-0.04","","0.14","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.65 - 28.50"
"CMSC","Cms Energy Corp","26.84","26.77","26.80","8,500","-0.02","","0.07","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.42 - 28.55"
"CMSD","Cms Energy Corp 5.875% Junior","26.67","26.52","26.62","39,800","0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.00 - 28.17"
"CMTG","Claros Mortgage Trust Inc","16.90","16.20","16.57","42,600","0.12","","0.73","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CMU","Colonial Muni Income Trust","4.540","4.490","4.530","34,200","0.010","","0.22","Finance","Closed-End Fund - Debt","N/A","N/A","0.12","N/A","N/A","N/A","N/A","N/A","N/A","4.32 - 4.90"
"CNA","Cna Financial Corp","44.30","43.39","44.22","276,300","0.86","","1.98","Finance","Property-Casualty Insurers","12.36","4.24","4.11","2.37","1.14","1.44","1.75B","270.92M","11.95B","36.78 - 49.08"
"CNC","Centene Corp","82.22","78.80","81.85","10,930,200","3.70","","4.73","Health Care","Hospital And Medical Service Plans","20.72","1.37","4.56","N/A","2.46","0.36","2.19B","172.44M","13.53B","57.16 - 77.65"
"CND","Concord Acquisition Corp Cl A","10.56","10.41","10.50","411,600","-0.10","","0.94","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CND.S","Concord Acquisition Corp II [Cnda.U]","10.10","10.09","10.10","4,600","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CND.T","Concord Acquisition Corp II WT [Cnda/W]","0.8705","0.8700","0.8700","59,800","-0.0400","","4.40","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CND.U","Concord Acquisition Corp","10.17","10.14","10.14","27,100","-1.96","","16.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.81 - 15.25"
"CND.W","Concord Acquisition Corp WT","2.490","2.280","2.490","160,500","-0.140","","5.32","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CNDA","Concord Acquisition Corp II Cl A","9.800","9.800","9.800","4,923","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CNF","Cnfinance Holdings Ltd ADR","5.100","4.510","4.600","196,400","0.150","","3.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","52.32K","264.21K","2.95 - 6.34"
"CNHI","CNH Industrial N.V.","17.72","17.24","17.35","2,576,600","-0.20","","1.14","","","38.97","0.93","0.31","0.99","3.72","0.68","2.44B","1.36B","24.24B","10.83 - 19.22"
"CNI","Canadian National Railway","126.5","124.8","125.7","2,380,500","0.3","","0.22","Transportation","Railroads","19.43","3.79","4.18","1.61","4.94","5.81","5.65B","750.98M","97.21B","100.66 - 136.22"
"CNK","Cinemark Holdings Inc","16.42","15.60","16.26","2,446,800","0.12","","0.74","Consumer Services","Movies/Entertainment","15.74","1.19","2.34","3.23","3.22","1.42","678.63M","115.91M","1.96B","13.84 - 27.84"
"CNM","Core & Main Inc Cl A","27.00","25.98","26.66","242,600","0.27","","1.02","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CNMD","C O N M E D Cp","137.3","133.6","133.9","227,500","-2.8","","2.07","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","101.69 - 159.11"
"CNNE","Cannae Holdings Inc","34.08","33.05","33.34","654,600","-0.76","","2.23","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29.16 - 46.57"
"CNO","Cno Financial Group","24.52","23.69","24.14","845,200","0.50","","2.12","Finance","Accident &Health Insurance","10.73","1.7","2.29","1.47","0.87","1","935.40M","169.04M","4.00B","21.06 - 27.89"
"CNO-A","Cno Financial Group Inc 5.125%","25.83","25.61","25.62","2,700","0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.39 - 27.85"
"CNP","Centerpoint Energy Inc","28.13","27.68","27.82","5,183,500","-0.18","","0.64","Public Utilities","Electric Utilities: Central","21.25","3.02","1.4","3.63","3.57","1.44","2.08B","430.92M","12.01B","19.31 - 28.06"
"CNQ","Canadian Natural Resources","40.35","39.38","39.51","2,673,000","-0.34","","0.85","Energy","Oil & Gas Production","29.55","13.55","1.14","2.69","1.56","3.69","5.09B","1.22B","50.58B","22.40 - 44.33"
"CNR","Cornerstone Building Brands Inc","15.55","15.03","15.16","621,400","-0.10","","0.66","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.91 - 19.73"
"CNS","Cohn & Steers Inc","91.76","89.38","90.73","199,400","-1.07","","1.17","Finance","Investment Managers","21.19","2.18","2.06","2.64","6.78","5.37","150.50M","46.29M","4.19B","62.43 - 101.22"
"CNVY","Convey Holding Parent Inc","6.730","6.580","6.680","191,700","0.050","","0.75","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"CNX","CNX Resources Corp","14.09","13.57","13.89","2,450,700","-0.04","","0.29","Energy","Coal Mining","N/A","0.92","N/A","N/A","0.92","1.53","678.95M","229.78M","3.35B","10.01 - 16.08"
"CO","Global Cord Blood Corp","3.990","3.880","3.930","33,300","-0.020","","0.51","Finance","Business Services","38.37","N/A","0.31","N/A","2.85","10.24","53.01M","113.24M","448.43M","3.46 - 6.31"
"COD-A","Compass Div Holdings [Codi/Pa]","25.48","25.31","25.47","5,000","-0.19","","0.74","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.67 - 27.38"
"COD-B","Compass Div Holdings [Codi/Pb]","27.32","27.29","27.29","1,100","-0.13","","0.47","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.00 - 27.95"
"COD-C","Compass Div Holdings [Codi/Pc]","26.54","26.37","26.42","2,000","-0.03","","0.11","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.63 - 26.98"
"CODI","Compass Diversified Holdings","32.82","32.29","32.32","339,600","-0.16","","0.49","Technology","Professional Services","N/A","1.55","N/A","8.28","1.36","0.89","199.58M","59.83M","1.96B","18.81 - 32.97"
"COE","China Online Education Group ADR","1.480","1.360","1.460","145,000","-0.005","","0.34","","","N/A","N/A","N/A","N/A","N/A","2.8","N/A","20.02M","31.44M","1.05 - 29.60"
"COF","Capital One Financial Corp","149.5","145.5","147.9","2,168,300","1.9","","1.29","Finance","Major Banks","13.53","1.62","6.86","1.73","1","2.34","N/A","484.05M","72.81B","89.72 - 177.95"
"COF-G","Capital One Financial Corp [Cof/Pg]","25.00","24.98","25.00","72,400","0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.85 - 26.75"
"COF-H","Capital One Financial Corp [Cof/Ph]","25.00","24.98","25.00","64,100","0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.98 - 26.72"
"COF-I","Capital One Financial Corp [Cof/Pi]","26.18","26.07","26.14","52,700","-0.08","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.55 - 27.41"
"COF-J","Capital One Financial Corp [Cof/Pj]","25.90","25.78","25.87","95,800","-0.06","","0.23","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.01 - 26.74"
"COF-K","Capital One Financial Corp","25.76","25.61","25.71","5,900","-0.04","","0.17","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.51 - 26.84"
"COF-L","Capital One Financial Corp","25.13","24.81","25.00","97,400","-0.14","","0.56","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"COF-N","Capital One Financial Corp","24.99","24.83","24.94","57,400","-0.07","","0.28","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"COLD","Americold Realty Trust","33.28","31.67","31.74","3,247,300","-1.56","","4.68","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","27.88 - 40.85"
"COMP","Compass Inc Cl A","10.640","9.920","9.980","2,128,400","-0.230","","2.25","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"COO","Cooper Companies","403.6","391.2","392.3","405,100","-2.0","","0.51","Health Care","Ophthalmic Goods","35.05","1.9","6.97","0.02","3.8","5.61","641.95M","48.93M","19.55B","337.40 - 463.59"
"COOK","Traeger Inc","13.06","12.49","12.96","920,200","-0.02","","0.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"COP","Conocophillips","71.74","70.03","70.68","6,647,100","-0.34","","0.48","Energy","Integrated oil Companies","N/A","N/A","N/A","2.11","2.07","2.23","7.50B","1.22B","89.43B","38.77 - 77.98"
"COR","Coresite Realty Corp","170.2","170.0","170.0","1,667,400","-0.2","","0.13","Consumer Services","Real Estate Investment Trusts","63.6","2.74","1.74","3.27","12.39","8.49","232.47M","34.20M","5.82B","107.23 - 173.57"
"COR-Z","Corenergy Infrastructure TR IN [Corr/Pa]","18.45","17.71","17.79","32,600","-0.57","","3.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","16.47 - 25.20"
